## Physics and Engineering 
ASTROPY :: Astronomy in Python package fosters interoperability between Python astronomy packages. :: tag 0 :: 
EINSTEIN :: The Einstein Toolkit is a community-driven software platform of core computational tools to advance and support research in relativistic astrophysics and gravitational physics. :: tag 0 :: 
SPARSE :: Sparse works with Python 2.7 and offers a set of packages to deal with sparse matrices :: tag4 :: 
PARI ::  PARI is a widely used computer algebra system designed for fast computations in number theory :: tag4 ::
BOOST  ::    Boost provides free peer-reviewed portable C++ source libraries. :: tag4::
FFTW  ::    FFTW is a library for fast fourier transforms. FFTW 3.3.4 library compiled for general use. :: tag4::
GEOS  ::    GEOS (Geometry Engine - Open Source) is an API for processing spatial geometry. :: tag4::
GMP  ::     Gnu Multi Precision Libraries :: tag4::
GSL  ::    The GNU Scientific Library (GSL) is a numerical library for C and C++ programmers. :: tag4::
MIXMODLIB  ::    Mixmod statistical libraries :: tag4::
MPC  ::    Gnu Mpc is a C library for arithmatics with arbitrarily high precision of complex numbers. :: tag4::
MPFR  ::    MPFR library is a C library for multiple-precision floating-point computations. :: tag4::
NCO  ::    The NCO toolkit manipulates and analyzes data stored in netCDF-accessible formats. :: tag4::
NETCDF  ::    NetCDF is a set of software libraries supporting array-oriented scientific data. :: tag4::
SAGA  ::    SAGA is a GIS application :: tag4::
SAC    :: Seismic Analysis Code (SAC) software for scientists conducting research using IRIS data. :: tag4 ::
SDPA  ::    SDPA (Semi Definite Programming Algorithm) is one of the efficient software package for solving SDPs. :: tag4::
SPARSESUITE  ::    SuiteSparse is a suite of sparse matrix algorithms. :: tag4::
SUNDIALS  ::    SUNDIALS (SUite of Nonlinear and DIfferential/ALgebraic equation Solvers) :: tag4::
IPOPT :: Ipopt (Interior Point OPTimizert) is a software package for large-scale nonlinear optimization :: tag4 ::

 
## Software Libraries, Languages, and Tools 
ANT  ::    Ant is a Java library and command-line tool is to drive processes described in build files. :: tag5::
APR  ::    The Apache Portable Runtime (APR) libraries provide a interface to platform-specific implementations. :: tag5::
BINUTILS :: GNU Binutils are a collection of binary tools that do low level operations on binaries. :: tag5 ::
CANOPY  ::    Canopy is the next generation of the Enthought Python Distribution (EPD) :: tag5::
CCTOOLS  ::    Cooperative Computing Lab is software designed to easily harness large scale distributed systems such as clusters, clouds, and grids. :: tag5::
CMAKE  ::    CMake is a cross platform make utility :: tag5::
CURL  ::    Curl is a command line HTTP client :: tag5::
ECTOOLS  ::    Ectools is a set of tools for correcting long read assembly data :: tag5::
EXPAT  ::    Expat is an XML parser library written in C. :: tag5::
FFMPEG  ::    ffmpeg is a complete :: tag5::
FPC  ::    Free pascal Free Pascal is a 32 :: tag5::
FREETYPE  ::    FreeType 2 provides a simple and easy-to-use API to access font content in a uniform way :: tag5::
GCC  ::    GCC is a set of compilers for c :: tag5::
GIT  ::    Git is a software change management tool. :: tag5::
HDF5  ::    HDF5 is a library for storing and managing data in flexible :: tag5::
JASPER  ::    reference implementation of the codec specified in the JPEG :: tag5::
JAVA  ::    Java :: tag5::
JPEG  ::    Libjpeg is a widely used C library for reading and writing jpeg image files. :: tag5::
LIBGFORTRAN  ::   :: tag5::
LIBTIFF  ::   :: tag5::
MERCURIAL  ::    Mercurial is a source code management tool. :: tag5::
MPLAYER  ::    Mplayer is an image viewer and editor. :: tag5::
OPENCV  ::    OpenCV (Open Source Computer Vision Library) is an open source computer vision and machine learning software library. :: tag5::
PAPI  ::    PAPI is a performance profiler. :: tag5::
PCRE  ::    PCRE is perl compatible regular expression library. :: tag5::
POPPLER  ::    Poppler is a PDF rendering library based on the xpdf-3.0 code base :: tag5::
PROJ  ::    Cartographic projection library :: tag5::
PROOT  ::    PRoot is a user-space implementation of chroot :: tag5::
RUBY  ::    Ruby is a dynamic :: tag5::
SCONS  ::    SCons is a software construction tool and is a superior alternative to the classic "Make" build tool. :: tag5::
SERF  ::    Serf is a library that provides high performance http client functions. :: tag5::
SETTARG  ::    The settarg module dynamically and automatically updates "$TARG" and a host of other environment variables. :: tag5::
STASHCP  ::    Stashcp is a front-end to XRootD caching for OSG Connect Stash. :: tag5::
SUBVERSION  ::    Subversion is a source control revision tool. :: tag5::
SWIFT  ::    Swift is a parallel scripting language. :: tag5::
TCL  ::    Tcl (Tool Command Language) is a very powerful but easy to learn dynamic programming language. :: tag5::
VALGRIND  ::    Valgrind can detect memory management and threading bugs :: tag5::
WGET  ::    Wget is a command line HTTP client :: tag5::
S3CMD :: S3cmd is a free command line tool and client for uploading, retrieving and managing data in Amazon S3 and other cloud stora ge service providers that use the S3 protocol  :: tag5 :: 
GLOBUS-CLI :: globus-cli is a free command line tool that provides an interface to Globus services :: tag5 :: 
WXGTK:: wxWidgets is a C++ library that lets developers create applications for Windows, Mac OS X, and Linux. :: tag5 ::
CBLOSC :: A blocking, shuffling and loss-less compression library :: tag4 ::
HEALPIX :: Hierarchical Equal Area isoLatitude Pixelation of a sphere (HEALPIX) produces a subdivision of a spherical surface. :: tag 5 :: 
GD :: GD is an open source code library for the dynamic creation of images by programmers. :: tag5 :: 
CFITSIO :: CFITSIO is a library of C and Fortran subroutines for reading and writing data files in F ITS (Flexible Image Transport System) data format. :: tag5 ::
PROTOBUF :: Protocol buffers are Google's language-neutral, platform-neutral, extensible mechanism for serializing structured data – think XML, but smaller, faster, and simpler. :: tag5 ::
GNOME_LIBS :: GNOME desktop libraries. :: tag5 :: 
XROOTD :: The XROOTD project aims at giving high performance, scalable fault tolerant access to data repositories of many kinds.  :: tag5 ::
DENDROPY :: DendroPy is a Python library for phylogenetic computing :: tag5 ::
TCSH :: tcsh is a Unix shell based on and compatible with the C shell (csh). It is essentially the C shell with programmable command-line completion, command-line editing, and a few other features. :: tag5 ::
LLVM :: LLVM is a toolkit for the construction of highly optimized compilers, optimizers, and runtime environments. :: tag5 ::
BOTO :: Boto is a Python package that provides interfaces to Amazon Web Services. :: tag5 ::
GFAL :: GFAL2 is a set of file access utilities. :: tag5 :: 
PYTHON :: Python is a programming language that lets you work quickly and integrate systems more effectively. :: tag5 ::
UNIXODBC :: The unixODBC Project goals are to develop and promote unixODBC to be the definitive standard for ODBC on non MS Windows platforms. :: tag5 :: 
MYSQL :: mysql client tool that provides command line interface to the mysql database. :: tag5 :: 
LIBXPM ::  LibXPM is a package with  X.Org, X11, and libXpm runtime libraries :: tag5 ::
PEGASUS :: Pegasus is a workflow management system to automate, recover, and debug scientific computations. :: tag5 ::
CONNECT-CLIENT :: connect-client is command line tool to use OSG from your local machine.  :: tag5 ::
DAKOTA :: The Dakota toolkit provides a flexible, extensible interface between analysis codes and iterative systems analysis methods. :: tag5 ::
XZ :: XZ Utils is free general-purpose data compression software with a high compression ratio. :: tag5 ::
OPENSIM :: OpenSim is an open source software system for biomechanical modeling, simulation and analysis. :: tag5 ::
ZLIB :: Zlib is a library that provides functions for compression and decompression of data :: tag5 ::
SNAPPY :: Snappy is a compression and decompression library. :: tag5 ::
CIRCOS :: Circos is a software package for visualizing data and information in a circular layout. :: tag5 ::
ALL-PKGS :: all-pkgs loads Python with a set of popular packages for scientific computing (Numpy, matplotlib, Scipy, pandas, nltk) :: tag5 ::
PBSUITE_PKGS :: PBSuite loads python and adds numpy, h5py, and pysam packages. :: tag5 ::
MONO :: Mono is a software platform designed to allow developers to easily create cross platform applications. :: tag5 ::
RUCIO :: Distributed Data Management (DDM) system services :: tag5 ::
CPAN :: The Comprehensive Perl Archive Network (CPAN) is a repository for Perl programming language :: tag5 ::
BZIP2 :: bzip2 is a freely available, patent free, high-quality data compressor. :: tag5 ::
POVRAY :: The Persistence of Vision Raytracer is a high-quality, Free Software tool for creating stunning three-dimensional graphics. :: tag5 ::
DMTCP :: DMTCP (Distributed MultiThreaded Checkpointing) transparently checkpoints a single-host or distributed computation in user-space :: tag5 ::
APRUTIL ::  APR Util provides cross platform libraries for handling OS related operations. :: tag5 ::
PARSL :: Parsl is a parallel scripting library that enables easy parallelism and workflow design. :: tag5 ::
BBFTP :: BBFTP is a file transfer software. :: tag5 :: 
IRODS ::  The Integrated Rule-Oriented Data System (iRODS) is open source data management software. :: tag5 :: 
LIBICU :: International Components for Unicode (ICU) libraries. :: tag5 ::

